Team	LongPassPG	ShortPassPG	UnuccDribb	SuccDribb	HeaderShot	KickerShot
MCI	48.000 	699.000 	6.000 	13.200 	1.700 	15.800 
ARS	54.000 	571.000 	4.300 	10.100 	1.600 	14.000 
LIV	63.000 	546.000 	5.600 	11.600 	2.200 	14.500 
CHE	57.000 	509.000 	5.800 	13.500 	2.400 	13.500 
TOT	66.000 	509.000 	7.400 	11.500 	2.000 	14.300 
MUN	62.000 	470.000 	7.100 	12.300 	1.800 	11.700 
SOU	67.000 	388.000 	4.000 	10.000 	2.300 	9.500 
BOU	62.000 	368.000 	7.800 	9.000 	1.600 	10.600 
WAT	65.000 	352.000 	6.100 	8.700 	2.200 	9.300 
SWA	69.000 	349.000 	5.400 	8.400 	1.600 	7.300 
LEI	71.000 	333.000 	7.800 	11.100 	1.900 	9.100 
HDD	68.000 	329.000 	5.700 	7.300 	1.400 	8.000 
EVE	73.000 	321.000 	5.200 	6.900 	2.200 	7.200 
CRY	64.000 	317.000 	6.300 	12.700 	2.200 	10.300 
BRH	75.000 	316.000 	4.900 	7.800 	1.900 	8.200 
WHU	69.000 	313.000 	5.700 	11.200 	1.900 	7.800 
NEW	69.000 	303.000 	6.100 	8.000 	1.900 	9.900 
BUR	81.000 	282.000 	3.400 	5.700 	2.900 	7.100 
WBA	72.000 	279.000 	5.300 	8.400 	2.500 	7.400 
STK	68.000 	276.000 	4.800 	8.600 	1.900 	8.200 